TEST_ID,DATETIME_UTC,HOUR,APP_PLATFORM,APP_VERSION,DEVICE_UUID,IPV4,ISP,MOBILE_ISP,NET_TYPE,NET_MODE,NET_CELL_GEN,NET_NAME,MOBILE_SIM_MCC,MOBILE_SIM_MNC,MOBILE_SIM_OP,MOBILE_NET_MCC,MOBILE_NET_MNC,MOBILE_RSSI_START,MOBILE_RSSI_END,MOBILE_RSRP_START,MOBILE_RSRP_END,LOCATION_TYPE,LOCATION_ACCURACY,LOCATION_LAT,LOCATION_LNG,LOCATION_FULL_ADDRESS,SPEED_SERVER_POOL_NAME,SPEED_DOWNLOAD_AVG,SPEED_DOWNLOAD_PEAK,SPEED_UPLOAD_AVG,SPEED_UPLOAD_PEAK,SPEED_LATENCY_AVG,SPEED_LATENCY_MIN,SPEED_LATENCY_JITTER,BROWSE_STATUS,BROWSE_PR,STREAM_STATUS,STREAM_PR,NPERF_SCORE,MIN_TEMP,MAX_TEMP,PRECIP,Period,LOC_CODE,WEATHER
3225592380017823,2019-11-29,2:57:59,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,177.58.245.x,Claro Mobile BR,Claro Mobile BR,mobile,hspap,3,Claro,724,5,Claro BR,724,5,-75,-77,,,gps,18,-23.55953,-46.64882,"Rua Almirante Marques de Leão, Bela Vista, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01330000, Brazil",BR Sistemax 10G - Sao Paulo,3451,5608,1780,2887,204,35,432,OK,39.6,OK,82.89,30003,14.8,25.4,6.1,Morning,A,Cloudy
3225591464094509,2019-11-29,2:50:32,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,189.40.74.x,TIM Mobile BR,TIM Mobile BR,mobile,hspap,3,TIM,724,3,TIM,724,3,-73,-67,,,gps,20,-23.55953,-46.64882,"Rua Almirante Marques de Leão, Bela Vista, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01330000, Brazil",BR Sistemax 10G - Sao Paulo,9340,11339,3290,3342,35,30,7,OK,38.41,OK,85.13,43946,14.8,25.4,6.1,Morning,A,Cloudy
3.23E+15,2019-11-28,10:35:12,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,189.92.122.x,Claro Mobile BR,Claro Mobile BR,mobile,hspap,3,Claro,724,5,Claro BR,724,5,-77,-77,,,gps,20,-23.55954,-46.64881,"Rua Almirante Marques de Leão, Bela Vista, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01330000, Brazil",BR Sistemax 10G - Sao Paulo,2046,3684,1214,1654,118,45,578,OK,36.52,OK,82.03,20868,19.4,21,24.4,Morning,A,Raining
3225469413798621,2019-11-28,10:17:17,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,189.40.91.x,TIM Mobile BR,TIM Mobile BR,mobile,hspap,3,TIM,724,3,TIM,724,3,-67,-53,,,gps,18,-23.55953,-46.6488,"Rua Almirante Marques de Leão, Bela Vista, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01330000, Brazil",BR Sistemax 10G - Sao Paulo,11815,14645,3002,3241,34,29,9,OK,32.2,OK,84.58,43680,19.4,21,24.4,Morning,A,Raining
3225348182880154,2019-11-27,17:50:42,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,179.241.200.x,Claro Mobile BR,Claro Mobile BR,mobile,hspap,3,Claro,724,5,Claro BR,724,5,-83,-81,,,gps,19,-23.55952,-46.64875,"Rua Almirante Marques de Leão, Bela Vista, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01330000, Brazil",BR Sistemax 10G - Sao Paulo,1999,4686,423,507,55,50,10,Timeout,25.02,OK,76.84,15376,19.3,28.5,0,Afternoon,A,Clear
3225345918481099,2019-11-27,17:32:16,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,189.40.75.x,TIM Mobile BR,TIM Mobile BR,mobile,hspap,3,TIM,724,3,TIM,724,3,-73,-63,,,gps,19,-23.55954,-46.64881,"Rua Almirante Marques de Leão, Bela Vista, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01330000, Brazil",BR Sistemax 10G - Sao Paulo,5025,6343,3271,3390,39,33,13,Timeout,21.14,OK,82.29,30896,19.3,28.5,0,Afternoon,A,Clear
3225299844793656,2019-11-27,11:17:19,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,179.242.171.x,Claro Mobile BR,Claro Mobile BR,mobile,hspap,3,Claro,724,5,Claro BR,724,5,-75,-75,,,gps,19,-23.55953,-46.64882,"Rua Almirante Marques de Leão, Bela Vista, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01330000, Brazil",BR Sistemax 10G - Sao Paulo,2657,6113,966,1040,187,40,487,OK,38.21,OK,81.79,23878,19.3,28.5,0,Morning,A,Clear
3225295383865962,2019-11-27,10:41:01,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,189.40.74.x,TIM Mobile BR,TIM Mobile BR,mobile,hspap,3,TIM,724,3,TIM,724,3,-75,-67,,,gps,18,-23.55953,-46.64882,"Rua Almirante Marques de Leão, Bela Vista, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01330000, Brazil",BR Sistemax 10G - Sao Paulo,5515,7847,3179,3353,40,33,18,OK,31.14,OK,84.15,35135,19.3,28.5,0,Morning,A,Clear
3225154835482186,2019-11-26,15:37:14,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,179.242.169.x,Claro Mobile BR,Claro Mobile BR,mobile,hspap,3,Claro,724,5,Claro BR,724,5,-75,-73,,,gps,20,-23.55117,-46.64177,"3º Cartório de Registro de Imóveis, 23, Rua Jacareí, República, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01319-070, Brazil",BR Sistemax 10G - Sao Paulo,9984,12178,3366,3459,44,38,9,OK,38.83,OK,77.76,39577,16,30.5,0,Afternoon,B,Clear
3225153807062041,2019-11-26,15:28:52,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,189.40.72.x,TIM Mobile BR,TIM Mobile BR,mobile,hspap,3,TIM,724,3,TIM,724,3,-93,-91,,,gps,18,-23.55117,-46.64178,"3º Cartório de Registro de Imóveis, 23, Rua Jacareí, República, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01319-070, Brazil",BR Sistemax 10G - Sao Paulo,2139,2834,267,518,420,49,390,Timeout,13.68,OK,70.27,13021,16,30.5,0,Afternoon,B,Clear
3224994197012731,2019-11-25,17:49:57,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,187.26.150.x,Claro Mobile BR,Claro Mobile BR,mobile,hspap,3,Claro,724,5,Claro BR,724,5,-81,-81,,,gps,19,-23.55115,-46.64176,"3º Cartório de Registro de Imóveis, 23, Rua Jacareí, República, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01319-070, Brazil",BR Sistemax 10G - Sao Paulo,12424,13415,3369,3471,95,38,4,OK,33.71,OK,85.97,42677,14.5,24.2,0,Afternoon,B,Cloudy
3224993196790868,2019-11-25,17:41:49,android,2.4.11,c83a120c-82e9-3f9f-880e-e0f7bbbf29a9,189.40.89.x,TIM Mobile BR,TIM Mobile BR,mobile,hspap,3,TIM,724,3,TIM,724,3,-91,-87,,,gps,18,-23.55118,-46.64176,"3º Cartório de Registro de Imóveis, 23, Rua Jacareí, República, São Paulo, Região Imediata de São Paulo, RMSP, Região Intermediária de São Paulo, São Paulo, Southeast Region, 01319-070, Brazil",BR Sistemax 10G - Sao Paulo,2586,3151,3281,3361,57,49,43,OK,33.26,OK,81.74,24710,14.5,24.2,0,Afternoon,B,Cloudy
